Date,Description,Debit,Credit,Balance
01-01-2025,Dunzo,599.76,,26551.420000000002
03-01-2025,UPI-FORTISHOSPITAL-7248,2296.78,,29777.58
04-01-2025,UPI-INDIANRAILWAYS-7959,608.93,,60653.79
05-01-2025,UPI-MCDONALD'S-7786,1378.0,,57522.90000000002
05-01-2025,UPI-NETFLIX-8344,442.59,,75799.71
06-01-2025,Fortis Hospital,2228.06,,44080.48
06-01-2025,UPI-KFC-5031,509.99,,41392.08000000001
10-01-2025,UPI-ZOMATO-1866,281.44,,57241.46000000002
11-01-2025,Refund,,3698.38,40812.390000000014
13-01-2025,UPI-BIGBASKET-6564,1027.98,,25878.45
15-01-2025,UPI-ZEPTO-6510,951.79,,32686.65
15-01-2025,UPI-UBER-6244,534.49,,40742.27000000001
16-01-2025,Gold's Gym,1942.02,,55299.440000000024
17-01-2025,Salary,,50000,76859.47
18-01-2025,Cafe Coffee Day,464.19,,70540.09000000003
18-01-2025,UPI-HOTSTAR-1014,608.44,,108380.95000000001
21-01-2025,Dividend,,4331.07,39088.900000000016
22-01-2025,UPI-RAPIDO-6928,233.91,,43534.17000000001
23-01-2025,UPI-PVRCINEMAS-1100,756.01,,58900.90000000002
23-01-2025,UPI-BMTC-7850,161.68,,50598.03000000002
25-01-2025,Freelance Payment,,3712.15,43768.080000000016
26-01-2025,UPI-APOLLOPHARMACY-8487,1827.92,,74940.13
26-01-2025,UPI-CULT.FIT-5327,1248.48,,77499.76000000001
26-01-2025,Freelance Payment,,4920.68,76737.84
27-01-2025,UPI-PHARMEASY-5813,895.04,,22168.94
29-01-2025,UPI-UNACADEMY-2404,9910.7,,33638.44
30-01-2025,UPI-CULT.FIT-8958,1974.89,,37114.01000000002
31-01-2025,UPI-PRIMEVIDEO-9866,531.34,,43549.14000000001
01-02-2025,UPI-AMAZON-7056,2755.86,,47244.14
03-02-2025,UPI-DOMINO'S-7867,322.67,,26859.47000000001
04-02-2025,UPI-AIRTEL-8376,1442.91,,20168.25
04-02-2025,UPI-PRACTO-5587,1828.15,,65813.38
05-02-2025,UPI-PVRCINEMAS-3036,622.67,,60031.12
05-02-2025,Gold's Gym,2810.15,,53219.00000000001
06-02-2025,Cashback,,2425.3,53276.63000000003
06-02-2025,UPI-UNACADEMY-7388,5042.31,,71817.16
07-02-2025,UPI-PRACTO-5279,2927.45,,73262.53000000001
